competition_id,competition_name,date,team_1_id,team_2_id,team_1_name,team_2_name,color_1,color_2,goals,fouls,yellow,yellow_red,red,penalties_scored,penalties_saved,woodwork,own_goals,joker_goals
72,Eredivisie,2021-02-28 13:30:00 UTC
384,Serie A,2021-02-28 14:00:00 UTC
301,Ligue 1,2021-02-28 16:05:00 UTC
564,La Liga,2021-02-28 20:00:00 UTC
384,Serie A,2021-03-02 17:30:00 UTC
9,Championship,2021-03-02 19:00:00 UTC
600,Süper Lig,2021-03-03 16:00:00 UTC
8,Premier League,2021-03-03 18:00:00 UTC
384,Serie A,2021-03-03 19:45:00 UTC
85,2. Bundesliga,2021-03-05 17:30:00 UTC
85,2. Bundesliga,2021-03-06 12:00:00 UTC
486,Premier League,2021-03-06 13:30:00 UTC
9,Championship,2021-03-06 15:00:00 UTC
462,Primeira Liga,2021-03-06 15:30:00 UTC
591,Super League,2021-03-06 19:30:00 UTC
8,Premier League,2021-03-07 12:00:00 UTC
181,Tipico Bundesliga,2021-03-07 13:30:00 UTC
564,La Liga,2021-03-07 15:15:00 UTC
564,La Liga,2021-03-07 17:30:00 UTC
462,Primeira Liga,2021-03-08 20:15:00 UTC
564,La Liga,2021-03-10 18:00:00 UTC
5,Europa League,2021-03-11 20:00:00 UTC
301,Ligue 1,2021-03-12 20:00:00 UTC
85,2. Bundesliga,2021-03-13 12:00:00 UTC
82,Bundesliga,2021-03-13 14:30:00 UTC
85,2. Bundesliga,2021-03-14 12:30:00 UTC
301,Ligue 1,2021-03-14 14:00:00 UTC
72,Eredivisie,2021-03-14 15:45:00 UTC
384,Serie A,2021-03-14 17:00:00 UTC
564,La Liga,2021-01-02 17:30:00 UTC
9,Championship,2021-03-13 15:00:00 UTC
181,Tipico Bundesliga,2021-03-13 16:00:00 UTC
600,Süper Lig,2021-01-02 13:00:00 UTC
9,Championship,2021-01-02 15:00:00 UTC
600,Süper Lig,2021-01-02 10:30:00 UTC
85,2. Bundesliga,2021-01-02 12:00:00 UTC
85,2. Bundesliga,2021-01-02 12:00:00 UTC
85,2. Bundesliga,2021-01-02 12:00:00 UTC
8,Premier League,2021-01-02 12:30:00 UTC
181,Tipico Bundesliga,2021-01-27 19:30:00 UTC
600,Süper Lig,2021-01-02 13:00:00 UTC
564,La Liga,2021-01-02 13:00:00 UTC
82,Bundesliga,2021-01-02 14:30:00 UTC
82,Bundesliga,2021-01-02 14:30:00 UTC
82,Bundesliga,2021-01-02 14:30:00 UTC
82,Bundesliga,2021-01-02 14:30:00 UTC
82,Bundesliga,2021-01-02 14:30:00 UTC
8,Premier League,2021-01-02 15:00:00 UTC
9,Championship,2021-01-02 15:00:00 UTC
9,Championship,2021-01-02 15:00:00 UTC
9,Championship,2021-01-02 15:00:00 UTC
9,Championship,2021-01-02 15:00:00 UTC
9,Championship,2021-01-02 15:00:00 UTC
9,Championship,2021-01-02 15:00:00 UTC
564,La Liga,2021-01-02 15:15:00 UTC
600,Süper Lig,2021-01-02 16:00:00 UTC
9,Championship,2021-01-02 19:45:00 UTC
600,Süper Lig,2021-01-02 16:00:00 UTC
82,Bundesliga,2021-01-02 17:30:00 UTC
8,Premier League,2021-01-02 17:30:00 UTC
462,Primeira Liga,2021-01-02 18:00:00 UTC
82,Bundesliga,2021-01-02 19:30:00 UTC
9,Championship,2021-01-19 19:45:00 UTC
8,Premier League,2021-01-02 20:00:00 UTC
564,La Liga,2021-01-02 20:00:00 UTC
600,Süper Lig,2021-01-03 10:30:00 UTC
384,Serie A,2021-01-03 11:30:00 UTC
85,2. Bundesliga,2021-01-03 12:30:00 UTC
85,2. Bundesliga,2021-01-03 12:30:00 UTC
85,2. Bundesliga,2021-01-03 12:30:00 UTC
85,2. Bundesliga,2021-01-03 12:30:00 UTC
85,2. Bundesliga,2021-01-03 12:30:00 UTC
600,Süper Lig,2021-01-03 13:00:00 UTC
462,Primeira Liga,2021-01-03 13:00:00 UTC
564,La Liga,2021-01-03 13:00:00 UTC
384,Serie A,2021-01-03 14:00:00 UTC
384,Serie A,2021-01-03 14:00:00 UTC
384,Serie A,2021-01-03 14:00:00 UTC
384,Serie A,2021-01-03 14:00:00 UTC
384,Serie A,2021-01-03 14:00:00 UTC
384,Serie A,2021-01-03 14:00:00 UTC
8,Premier League,2021-01-03 14:15:00 UTC
82,Bundesliga,2021-01-03 14:30:00 UTC
462,Primeira Liga,2021-01-03 15:00:00 UTC
564,La Liga,2021-01-03 15:15:00 UTC
600,Süper Lig,2021-01-03 16:00:00 UTC
82,Bundesliga,2021-01-03 17:00:00 UTC
384,Serie A,2021-01-03 17:00:00 UTC
564,La Liga,2021-01-03 17:30:00 UTC
564,La Liga,2021-01-03 17:30:00 UTC
462,Primeira Liga,2021-01-03 19:00:00 UTC
384,Serie A,2021-01-03 19:45:00 UTC
564,La Liga,2021-01-03 20:00:00 UTC
462,Primeira Liga,2021-01-03 21:00:00 UTC
387,Serie B,2021-01-04 14:00:00 UTC
387,Serie B,2021-01-04 15:00:00 UTC
600,Süper Lig,2021-01-04 16:00:00 UTC
387,Serie B,2021-01-04 16:00:00 UTC
462,Primeira Liga,2021-01-04 17:00:00 UTC
387,Serie B,2021-01-04 17:00:00 UTC
387,Serie B,2021-01-04 17:00:00 UTC
387,Serie B,2021-01-04 17:00:00 UTC
387,Serie B,2021-01-04 17:00:00 UTC
387,Serie B,2021-01-04 17:00:00 UTC
462,Primeira Liga,2021-01-04 19:00:00 UTC
85,2. Bundesliga,2021-01-04 19:30:00 UTC
564,La Liga,2021-01-04 20:00:00 UTC
387,Serie B,2021-01-04 20:00:00 UTC
462,Primeira Liga,2021-01-04 21:15:00 UTC
181,Tipico Bundesliga,2021-01-23 16:00:00 UTC
600,Süper Lig,2021-01-05 13:00:00 UTC
600,Süper Lig,2021-01-05 13:00:00 UTC
600,Süper Lig,2021-01-05 16:00:00 UTC
600,Süper Lig,2021-01-06 10:30:00 UTC
384,Serie A,2021-01-06 11:30:00 UTC
600,Süper Lig,2021-01-06 13:00:00 UTC
600,Süper Lig,2021-01-06 13:00:00 UTC
384,Serie A,2021-01-06 14:00:00 UTC
384,Serie A,2021-01-06 14:00:00 UTC
384,Serie A,2021-01-06 14:00:00 UTC
384,Serie A,2021-01-06 14:00:00 UTC
384,Serie A,2021-01-06 14:00:00 UTC
384,Serie A,2021-01-06 14:00:00 UTC
384,Serie A,2021-01-06 14:00:00 UTC
600,Süper Lig,2021-01-06 16:00:00 UTC
600,Süper Lig,2021-01-06 16:00:00 UTC
384,Serie A,2021-01-06 17:00:00 UTC
85,2. Bundesliga,2021-01-06 17:30:00 UTC
301,Ligue 1,2021-01-06 18:00:00 UTC
301,Ligue 1,2021-01-06 18:00:00 UTC
301,Ligue 1,2021-01-06 18:00:00 UTC
301,Ligue 1,2021-01-06 18:00:00 UTC
384,Serie A,2021-01-06 19:45:00 UTC
301,Ligue 1,2021-01-06 20:00:00 UTC
301,Ligue 1,2021-01-06 20:00:00 UTC
301,Ligue 1,2021-01-06 20:00:00 UTC
301,Ligue 1,2021-01-06 20:00:00 UTC
301,Ligue 1,2021-01-06 20:00:00 UTC
564,La Liga,2021-01-06 20:00:00 UTC
462,Primeira Liga,2021-01-07 21:00:00 UTC
85,2. Bundesliga,2021-01-08 17:30:00 UTC
85,2. Bundesliga,2021-01-08 17:30:00 UTC
462,Primeira Liga,2021-01-08 18:00:00 UTC
462,Primeira Liga,2021-01-08 19:00:00 UTC
462,Primeira Liga,2021-01-08 19:00:00 UTC
82,Bundesliga,2021-01-08 19:30:00 UTC
564,La Liga,2021-01-08 20:00:00 UTC
462,Primeira Liga,2021-01-08 21:00:00 UTC
600,Süper Lig,2021-01-09 10:30:00 UTC
85,2. Bundesliga,2021-01-09 12:00:00 UTC
85,2. Bundesliga,2021-01-09 12:00:00 UTC
600,Süper Lig,2021-01-09 13:00:00 UTC
600,Süper Lig,2021-01-09 13:00:00 UTC
564,La Liga,2021-01-09 13:00:00 UTC
387,Serie B,2021-01-09 13:00:00 UTC
384,Serie A,2021-01-09 14:00:00 UTC
82,Bundesliga,2021-01-09 14:30:00 UTC
82,Bundesliga,2021-01-09 14:30:00 UTC
82,Bundesliga,2021-01-09 14:30:00 UTC
82,Bundesliga,2021-01-09 14:30:00 UTC
72,Eredivisie,2021-01-09 15:30:00 UTC
600,Süper Lig,2021-01-09 16:00:00 UTC
462,Primeira Liga,2021-01-09 17:00:00 UTC
384,Serie A,2021-01-09 17:00:00 UTC
82,Bundesliga,2021-01-09 17:30:00 UTC
564,La Liga,2021-01-09 17:30:00 UTC
72,Eredivisie,2021-01-09 17:45:00 UTC
72,Eredivisie,2021-01-09 19:00:00 UTC
72,Eredivisie,2021-01-09 19:00:00 UTC
301,Ligue 1,2021-01-09 20:00:00 UTC
301,Ligue 1,2021-01-09 20:00:00 UTC
301,Ligue 1,2021-01-09 20:00:00 UTC
301,Ligue 1,2021-01-09 20:00:00 UTC
301,Ligue 1,2021-01-09 20:00:00 UTC
301,Ligue 1,2021-01-09 20:00:00 UTC
301,Ligue 1,2021-01-09 20:00:00 UTC
301,Ligue 1,2021-01-09 20:00:00 UTC
301,Ligue 1,2021-01-09 20:00:00 UTC
301,Ligue 1,2021-01-09 20:00:00 UTC
72,Eredivisie,2021-01-09 20:00:00 UTC
564,La Liga,2021-01-09 20:00:00 UTC
181,Tipico Bundesliga,2021-01-23 16:00:00 UTC
600,Süper Lig,2021-01-10 10:30:00 UTC
72,Eredivisie,2021-01-10 11:15:00 UTC
384,Serie A,2021-01-10 11:30:00 UTC
85,2. Bundesliga,2021-01-10 12:30:00 UTC
85,2. Bundesliga,2021-01-10 12:30:00 UTC
